Report Refresh Date,User Principal Name,Display Name,Is Deleted,Deleted Date,Has Exchange License,Has OneDrive License,Has SharePoint License,Has Skype For Business License,Has Yammer License,Has Teams License,Exchange Last Activity Date,OneDrive Last Activity Date,SharePoint Last Activity Date,Skype For Business Last Activity Date,Yammer Last Activity Date,Teams Last Activity Date,Exchange License Assign Date,OneDrive License Assign Date,SharePoint License Assign Date,Skype For Business License Assign Date,Yammer License Assign Date,Teams License Assign Date,Assigned Products
2026-03-08,AmberR@M365CPI34695047.OnMicrosoft.com,Amber Rodriguez,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT 365 COPILOT+MICROSOFT TEAMS PREMIUM
2026-03-08,EkaS@M365CPI34695047.OnMicrosoft.com,Eka Siahaan,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS ENTERPRISE+MICROSOFT TEAMS PREMIUM+MICROSOFT 365 COPILOT+MICROSOFT 365 E5 (NO TEAMS)
2026-03-08,KaiC@M365CPI34695047.OnMicrosoft.com,Kai Carter,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS PREMIUM+MICROSOFT 365 COPILOT
2026-03-08,OmarB@M365CPI34695047.OnMicrosoft.com,Omar Bennett,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 COPILOT+MICROSOFT TEAMS PREMIUM
2026-03-08,CoreyG@M365CPI34695047.OnMicrosoft.com,Corey Gray,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS PREMIUM+MICROSOFT 365 COPILOT+MICROSOFT TEAMS ENTERPRISE
2026-03-08,VanceD@M365CPI34695047.OnMicrosoft.com,Vance DeLeon,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 COPILOT+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS ENTERPRISE+MICROSOFT TEAMS PREMIUM
2026-03-08,SydneyM@M365CPI34695047.OnMicrosoft.com,Sydney Mattos,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 COPILOT+MICROSOFT TEAMS PREMIUM+MICROSOFT 365 E5 (NO TEAMS)
2026-03-08,ana.celia@folimpio.com.br,Ana Célia de França Olimpio,False,,True,True,True,False,True,True,,2026-03-03,,,,,2026-03-01,2026-03-01,2026-03-01,,2026-03-01,2026-03-01,MICROSOFT TEAMS PREMIUM+MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT 365 COPILOT
2026-03-08,AdilE@M365CPI34695047.OnMicrosoft.com,Adil Eli,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT 365 COPILOT+MICROSOFT TEAMS ENTERPRISE+MICROSOFT TEAMS PREMIUM
2026-03-08,SoniaR@M365CPI34695047.OnMicrosoft.com,Sonia Rees,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 COPILOT+MICROSOFT TEAMS PREMIUM+MICROSOFT 365 E5 (NO TEAMS)
2026-03-08,WillB@M365CPI34695047.OnMicrosoft.com,William Beringer,False,,False,False,False,False,False,False,2026-01-28,2026-01-28,2026-01-28,,,,,,,,,,
2026-03-08,DakotaS@M365CPI34695047.OnMicrosoft.com,Dakota Sanchez,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS PREMIUM+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 COPILOT
2026-03-08,MarioR@M365CPI34695047.OnMicrosoft.com,Mario Rogers,False,,True,True,True,False,True,True,2026-01-28,,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 COPILOT+MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS PREMIUM
2026-03-08,admin@M365CPI34695047.onmicrosoft.com,MOD Administrator,False,,True,True,True,False,True,True,2026-01-28,2026-03-08,2026-03-01,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS ENTERPRISE+MICROSOFT TEAMS PREMIUM+MICROSOFT 365 COPILOT+MICROSOFT 365 E5 (NO TEAMS)
2026-03-08,CoraT@M365CPI34695047.OnMicrosoft.com,Cora Thomas,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS PREMIUM+MICROSOFT 365 COPILOT
2026-03-08,fernando@folimpio.com.br,Fernando Olimpio,False,,True,True,True,False,True,True,,,,,,,2026-02-27,2026-02-27,2026-02-27,,2026-02-27,2026-02-27,MICROSOFT 365 COPILOT+MICROSOFT TEAMS PREMIUM+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS ENTERPRISE
2026-03-08,BillieV@M365CPI34695047.OnMicrosoft.com,Billie Vester,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS ENTERPRISE+MICROSOFT TEAMS PREMIUM+MICROSOFT 365 COPILOT
